,date,age,total_number,rV
3089,2021/12/7,90+,22,0.000228733
3692,2021/12/8,45057,0,0
3090,2021/12/8,45279,706,0.00091669
3091,2021/12/8,20-29,268,0.00026938
3092,2021/12/8,30-39,283,0.00024652
3093,2021/12/8,40-49,297,0.000197225
3094,2021/12/8,50-59,220,0.000136839
3095,2021/12/8,60-69,135,0.000112913
3096,2021/12/8,70-79,67,6.78E-05
3097,2021/12/8,80-89,26,4.23E-05
3098,2021/12/8,90+,6,6.24E-05
3693,2021/12/9,45057,0,0
3099,2021/12/9,45279,1135,0.001473716
3100,2021/12/9,20-29,504,0.000506596
3101,2021/12/9,30-39,607,0.000528756
3102,2021/12/9,40-49,580,0.000385153
3103,2021/12/9,50-59,449,0.000279277
3104,2021/12/9,60-69,253,0.000211608
3105,2021/12/9,70-79,155,0.000156844
3106,2021/12/9,80-89,78,0.000127044
3107,2021/12/9,90+,27,0.000280718
3694,2021/12/10,45057,0,0
3108,2021/12/10,45279,1262,0.001638616
3109,2021/12/10,20-29,507,0.000509611
3110,2021/12/10,30-39,587,0.000511334
3111,2021/12/10,40-49,602,0.000399762
3112,2021/12/10,50-59,520,0.000323438
3113,2021/12/10,60-69,283,0.0002367
3114,2021/12/10,70-79,167,0.000168987
3115,2021/12/10,80-89,80,0.000130301
3116,2021/12/10,90+,23,0.00023913
3695,2021/12/11,45057,0,0
3117,2021/12/11,45279,1211,0.001572396
3118,2021/12/11,20-29,449,0.000451313
3119,2021/12/11,30-39,528,0.000459939
3120,2021/12/11,40-49,457,0.000303474
3121,2021/12/11,50-59,416,0.000258751
3122,2021/12/11,60-69,208,0.00017397
3123,2021/12/11,70-79,132,0.000133571
3124,2021/12/11,80-89,58,9.45E-05
3125,2021/12/11,90+,9,9.36E-05
3696,2021/12/12,45057,0,0
3126,2021/12/12,45279,721,0.000936167
3127,2021/12/12,20-29,247,0.000248272
3128,2021/12/12,30-39,338,0.000294431
3129,2021/12/12,40-49,305,0.000202537
3130,2021/12/12,50-59,261,0.000162341
3131,2021/12/12,60-69,144,0.000120441
3132,2021/12/12,70-79,62,6.27E-05
3133,2021/12/12,80-89,47,7.66E-05
3134,2021/12/12,90+,6,6.24E-05
3697,2021/12/13,45057,0,0
3135,2021/12/13,45279,997,0.001294533
3136,2021/12/13,20-29,486,0.000488503
3137,2021/12/13,30-39,612,0.000533111
3138,2021/12/13,40-49,566,0.000375856
3139,2021/12/13,50-59,493,0.000306644
3140,2021/12/13,60-69,267,0.000223318
3141,2021/12/13,70-79,161,0.000162916
3142,2021/12/13,80-89,77,0.000125415
3143,2021/12/13,90+,26,0.000270321
3698,2021/12/14,45057,0,0
3144,2021/12/14,45279,1092,0.001417884
3145,2021/12/14,20-29,497,0.00049956
3146,2021/12/14,30-39,609,0.000530498
3147,2021/12/14,40-49,496,0.000329372
3148,2021/12/14,50-59,498,0.000309754
3149,2021/12/14,60-69,288,0.000240882
3150,2021/12/14,70-79,203,0.000205416
3151,2021/12/14,80-89,91,0.000148218
3152,2021/12/14,90+,24,0.000249527
3699,2021/12/15,45057,0,0
3153,2021/12/15,45279,877,0.001138721
3154,2021/12/15,20-29,427,0.000429199
3155,2021/12/15,30-39,494,0.000430322
3156,2021/12/15,40-49,458,0.000304138
3157,2021/12/15,50-59,408,0.000253775
3158,2021/12/15,60-69,251,0.000209935
3159,2021/12/15,70-79,147,0.000148749
3160,2021/12/15,80-89,74,0.000120529
3161,2021/12/15,90+,25,0.000259924
3162,2021/12/16,45057,3392,0.005248662
3163,2021/12/16,45279,1018,0.0013218
3164,2021/12/16,20-29,418,0.000420153
3165,2021/12/16,30-39,500,0.000435548
3166,2021/12/16,40-49,481,0.000319411
3167,2021/12/16,50-59,429,0.000266837
3168,2021/12/16,60-69,265,0.000221645
3169,2021/12/16,70-79,159,0.000160892
3170,2021/12/16,80-89,89,0.00014496
3171,2021/12/16,90+,26,0.000270321
3172,2021/12/17,45057,3560,0.005508619
3173,2021/12/17,45279,927,0.001203643
3174,2021/12/17,20-29,340,0.000341751
3175,2021/12/17,30-39,470,0.000409416
3176,2021/12/17,40-49,403,0.000267615
3177,2021/12/17,50-59,371,0.000230761
3178,2021/12/17,60-69,215,0.000179825
3179,2021/12/17,70-79,146,0.000147737
3180,2021/12/17,80-89,88,0.000143332
3181,2021/12/17,90+,24,0.000249527
3182,2021/12/18,45057,7853,0.012151456
3183,2021/12/18,45279,1005,0.00130492
3184,2021/12/18,20-29,294,0.000295514
3185,2021/12/18,30-39,369,0.000321435
3186,2021/12/18,40-49,366,0.000243045
3187,2021/12/18,50-59,310,0.000192819
3188,2021/12/18,60-69,171,0.000143024
3189,2021/12/18,70-79,116,0.00011738
3190,2021/12/18,80-89,58,9.45E-05
3191,2021/12/18,90+,15,0.000155954
3192,2021/12/19,45057,8767,0.013565748
3193,2021/12/19,45279,615,0.000798533
3194,2021/12/19,20-29,207,0.000208066
3195,2021/12/19,30-39,203,0.000176833
3196,2021/12/19,40-49,207,0.00013746
3197,2021/12/19,50-59,166,0.000103251
3198,2021/12/19,60-69,96,8.03E-05
3199,2021/12/19,70-79,64,6.48E-05
3200,2021/12/19,80-89,25,4.07E-05
3201,2021/12/19,90+,4,4.16E-05
3202,2021/12/20,45057,4066,0.006291585
3203,2021/12/20,45279,948,0.00123091
3204,2021/12/20,20-29,359,0.000360849
3205,2021/12/20,30-39,458,0.000398962
3206,2021/12/20,40-49,413,0.000274255
3207,2021/12/20,50-59,401,0.000249421
3208,2021/12/20,60-69,251,0.000209935
3209,2021/12/20,70-79,133,0.000134583
3210,2021/12/20,80-89,68,0.000110756
3211,2021/12/20,90+,14,0.000145557
3212,2021/12/21,45057,3925,0.006073407
3213,2021/12/21,45279,918,0.001191957
3214,2021/12/21,20-29,337,0.000338736
3215,2021/12/21,30-39,423,0.000368474
3216,2021/12/21,40-49,403,0.000267615
3217,2021/12/21,50-59,376,0.000233871
3218,2021/12/21,60-69,236,0.000197389
3219,2021/12/21,70-79,144,0.000145714
3220,2021/12/21,80-89,66,0.000107499
3221,2021/12/21,90+,27,0.000280718
3222,2021/12/22,45057,4250,0.006576301
3223,2021/12/22,45279,944,0.001225716
3224,2021/12/22,20-29,322,0.000323658
3225,2021/12/22,30-39,428,0.000372829
3226,2021/12/22,40-49,356,0.000236404
3227,2021/12/22,50-59,368,0.000228895
3228,2021/12/22,60-69,212,0.000177316
3229,2021/12/22,70-79,114,0.000115357
3230,2021/12/22,80-89,84,0.000136817
3231,2021/12/22,90+,31,0.000322306
3232,2021/12/23,45057,5328,0.00824436
3233,2021/12/23,45279,991,0.001286742
3234,2021/12/23,20-29,359,0.000360849
3235,2021/12/23,30-39,395,0.000344083
3236,2021/12/23,40-49,348,0.000231092
3237,2021/12/23,50-59,295,0.000183489
3238,2021/12/23,60-69,179,0.000149715
3239,2021/12/23,70-79,114,0.000115357
3240,2021/12/23,80-89,60,9.77E-05
3241,2021/12/23,90+,21,0.000218336
3242,2021/12/24,45057,2162,0.003345403
3243,2021/12/24,45279,242,0.00031422
3244,2021/12/24,20-29,146,0.000146752
3245,2021/12/24,30-39,154,0.000134149
3246,2021/12/24,40-49,121,8.04E-05
3247,2021/12/24,50-59,93,5.78E-05
3248,2021/12/24,60-69,69,5.77E-05
3249,2021/12/24,70-79,40,4.05E-05
3250,2021/12/24,80-89,19,3.09E-05
3251,2021/12/24,90+,6,6.24E-05
3252,2021/12/25,45057,160,0.000247578
3253,2021/12/25,45279,32,4.15E-05
3254,2021/12/25,20-29,13,1.31E-05
3255,2021/12/25,30-39,23,2.00E-05
3256,2021/12/25,40-49,6,3.98E-06
3257,2021/12/25,50-59,12,7.46E-06
3258,2021/12/25,60-69,4,3.35E-06
3259,2021/12/25,70-79,2,2.02E-06
3260,2021/12/25,80-89,2,3.26E-06
3261,2021/12/25,90+,1,1.04E-05
3262,2021/12/26,45057,3783,0.005853681
3263,2021/12/26,45279,247,0.000320712
3264,2021/12/26,20-29,67,6.73E-05
3265,2021/12/26,30-39,76,6.62E-05
3266,2021/12/26,40-49,56,3.72E-05
3267,2021/12/26,50-59,59,3.67E-05
3268,2021/12/26,60-69,48,4.01E-05
3269,2021/12/26,70-79,22,2.23E-05
3270,2021/12/26,80-89,11,1.79E-05
3271,2021/12/26,90+,2,2.08E-05
3272,2021/12/27,45057,5989,0.009267168
3273,2021/12/27,45279,898,0.001165988
3274,2021/12/27,20-29,240,0.000241236
3275,2021/12/27,30-39,392,0.00034147
3276,2021/12/27,40-49,315,0.000209178
3277,2021/12/27,50-59,303,0.000188465
3278,2021/12/27,60-69,231,0.000193207
3279,2021/12/27,70-79,118,0.000119404
3280,2021/12/27,80-89,49,7.98E-05
3281,2021/12/27,90+,11,0.000114367
3282,2021/12/28,45057,6013,0.009304305
3283,2021/12/28,45279,909,0.001180271
3284,2021/12/28,20-29,266,0.00026737
3285,2021/12/28,30-39,343,0.000298786
3286,2021/12/28,40-49,320,0.000212498
3287,2021/12/28,50-59,339,0.000210857
3288,2021/12/28,60-69,204,0.000170625
3289,2021/12/28,70-79,126,0.000127499
3290,2021/12/28,80-89,78,0.000127044
3291,2021/12/28,90+,21,0.000218336
3292,2021/12/29,45057,6227,0.009635441
3293,2021/12/29,45279,920,0.001194554
3294,2021/12/29,20-29,254,0.000255308
3295,2021/12/29,30-39,352,0.000306626
3296,2021/12/29,40-49,336,0.000223123
3297,2021/12/29,50-59,325,0.000202149
3298,2021/12/29,60-69,241,0.000201571
3299,2021/12/29,70-79,149,0.000150773
3300,2021/12/29,80-89,62,0.000100984
3301,2021/12/29,90+,26,0.000270321
3302,2021/12/30,45057,5931,0.009177421
3303,2021/12/30,45279,893,0.001159496
3304,2021/12/30,20-29,228,0.000229174
3305,2021/12/30,30-39,347,0.000302271
3306,2021/12/30,40-49,337,0.000223787
3307,2021/12/30,50-59,321,0.000199661
3308,2021/12/30,60-69,262,0.000219136
3309,2021/12/30,70-79,138,0.000139642
3310,2021/12/30,80-89,77,0.000125415
3311,2021/12/30,90+,34,0.000353496
3312,2021/12/31,45057,2497,0.00386377
3313,2021/12/31,45279,392,0.000508984
3314,2021/12/31,20-29,129,0.000129664
3315,2021/12/31,30-39,176,0.000153313
3316,2021/12/31,40-49,180,0.00011953
3317,2021/12/31,50-59,169,0.000105117
3318,2021/12/31,60-69,139,0.000116259
3319,2021/12/31,70-79,79,7.99E-05
3320,2021/12/31,80-89,27,4.40E-05
3321,2021/12/31,90+,12,0.000124763
