Unnamed: 0,prename,week_end,sex,age,rV
55,British Columbia,2021-03-17,All sexes,80+,0.0417581746272298
52,British Columbia,2021-03-18,All sexes,0–17,1.1300540594974893e-05
53,British Columbia,2021-03-18,All sexes,18–69,0.0021825617118605
54,British Columbia,2021-03-18,All sexes,70–79,0.0041486833141761
55,British Columbia,2021-03-18,All sexes,80+,0.0417581746272298
52,British Columbia,2021-03-19,All sexes,0–17,1.1300540594974893e-05
53,British Columbia,2021-03-19,All sexes,18–69,0.0021825617118605
54,British Columbia,2021-03-19,All sexes,70–79,0.0041486833141761
55,British Columbia,2021-03-19,All sexes,80+,0.0417581746272298
52,British Columbia,2021-03-20,All sexes,0–17,1.1300540594974893e-05
53,British Columbia,2021-03-20,All sexes,18–69,0.0021825617118605
54,British Columbia,2021-03-20,All sexes,70–79,0.0041486833141761
55,British Columbia,2021-03-20,All sexes,80+,0.0417581746272298
56,British Columbia,2021-03-21,All sexes,0–17,1.45905714011e-05
57,British Columbia,2021-03-21,All sexes,18–69,0.0023594211924512
58,British Columbia,2021-03-21,All sexes,70–79,0.0144656989157433
59,British Columbia,2021-03-21,All sexes,80+,0.0355861493953677
56,British Columbia,2021-03-22,All sexes,0–17,1.45905714011e-05
57,British Columbia,2021-03-22,All sexes,18–69,0.0023594211924512
58,British Columbia,2021-03-22,All sexes,70–79,0.0144656989157433
59,British Columbia,2021-03-22,All sexes,80+,0.0355861493953677
56,British Columbia,2021-03-23,All sexes,0–17,1.45905714011e-05
57,British Columbia,2021-03-23,All sexes,18–69,0.0023594211924512
58,British Columbia,2021-03-23,All sexes,70–79,0.0144656989157433
59,British Columbia,2021-03-23,All sexes,80+,0.0355861493953677
56,British Columbia,2021-03-24,All sexes,0–17,1.45905714011e-05
57,British Columbia,2021-03-24,All sexes,18–69,0.0023594211924512
58,British Columbia,2021-03-24,All sexes,70–79,0.0144656989157433
59,British Columbia,2021-03-24,All sexes,80+,0.0355861493953677
56,British Columbia,2021-03-25,All sexes,0–17,1.45905714011e-05
57,British Columbia,2021-03-25,All sexes,18–69,0.0023594211924512
58,British Columbia,2021-03-25,All sexes,70–79,0.0144656989157433
59,British Columbia,2021-03-25,All sexes,80+,0.0355861493953677
56,British Columbia,2021-03-26,All sexes,0–17,1.45905714011e-05
57,British Columbia,2021-03-26,All sexes,18–69,0.0023594211924512
58,British Columbia,2021-03-26,All sexes,70–79,0.0144656989157433
59,British Columbia,2021-03-26,All sexes,80+,0.0355861493953677
56,British Columbia,2021-03-27,All sexes,0–17,1.45905714011e-05
57,British Columbia,2021-03-27,All sexes,18–69,0.0023594211924512
58,British Columbia,2021-03-27,All sexes,70–79,0.0144656989157433
59,British Columbia,2021-03-27,All sexes,80+,0.0355861493953677
60,British Columbia,2021-03-28,All sexes,0–17,2.6177201631385715e-05
61,British Columbia,2021-03-28,All sexes,18–69,0.0029742415556577
62,British Columbia,2021-03-28,All sexes,70–79,0.0284735124511359
63,British Columbia,2021-03-28,All sexes,80+,0.0156757625831207
60,British Columbia,2021-03-29,All sexes,0–17,2.6177201631385715e-05
61,British Columbia,2021-03-29,All sexes,18–69,0.0029742415556577
62,British Columbia,2021-03-29,All sexes,70–79,0.0284735124511359
