,C1M_School.closing,Date,datetime
597,1,20210820,2021/8/20
598,1,20210821,2021/8/21
599,1,20210822,2021/8/22
600,1,20210823,2021/8/23
601,1,20210824,2021/8/24
602,1,20210825,2021/8/25
603,1,20210826,2021/8/26
604,1,20210827,2021/8/27
605,1,20210828,2021/8/28
606,1,20210829,2021/8/29
607,1,20210830,2021/8/30
608,1,20210831,2021/8/31
609,1,20210901,2021/9/1
610,1,20210902,2021/9/2
611,1,20210903,2021/9/3
612,1,20210904,2021/9/4
613,1,20210905,2021/9/5
614,1,20210906,2021/9/6
615,1,20210907,2021/9/7
616,1,20210908,2021/9/8
617,1,20210909,2021/9/9
618,1,20210910,2021/9/10
619,1,20210911,2021/9/11
620,1,20210912,2021/9/12
621,1,20210913,2021/9/13
622,1,20210914,2021/9/14
623,1,20210915,2021/9/15
624,1,20210916,2021/9/16
625,1,20210917,2021/9/17
626,1,20210918,2021/9/18
627,1,20210919,2021/9/19
628,1,20210920,2021/9/20
629,1,20210921,2021/9/21
630,1,20210922,2021/9/22
631,1,20210923,2021/9/23
632,1,20210924,2021/9/24
633,1,20210925,2021/9/25
634,1,20210926,2021/9/26
635,1,20210927,2021/9/27
636,1,20210928,2021/9/28
637,1,20210929,2021/9/29
638,1,20210930,2021/9/30
639,1,20211001,2021/10/1
640,1,20211002,2021/10/2
641,1,20211003,2021/10/3
642,1,20211004,2021/10/4
643,1,20211005,2021/10/5
644,1,20211006,2021/10/6
645,1,20211007,2021/10/7
646,1,20211008,2021/10/8
647,1,20211009,2021/10/9
648,1,20211010,2021/10/10
649,1,20211011,2021/10/11
650,1,20211012,2021/10/12
651,1,20211013,2021/10/13
652,1,20211014,2021/10/14
653,1,20211015,2021/10/15
654,1,20211016,2021/10/16
655,1,20211017,2021/10/17
656,1,20211018,2021/10/18
657,1,20211019,2021/10/19
658,1,20211020,2021/10/20
659,1,20211021,2021/10/21
660,1,20211022,2021/10/22
661,1,20211023,2021/10/23
662,1,20211024,2021/10/24
663,1,20211025,2021/10/25
664,1,20211026,2021/10/26
665,1,20211027,2021/10/27
666,1,20211028,2021/10/28
667,1,20211029,2021/10/29
668,1,20211030,2021/10/30
669,1,20211031,2021/10/31
670,1,20211101,2021/11/1
671,1,20211102,2021/11/2
672,1,20211103,2021/11/3
673,1,20211104,2021/11/4
674,1,20211105,2021/11/5
675,1,20211106,2021/11/6
676,1,20211107,2021/11/7
677,1,20211108,2021/11/8
678,1,20211109,2021/11/9
679,1,20211110,2021/11/10
680,1,20211111,2021/11/11
681,1,20211112,2021/11/12
682,1,20211113,2021/11/13
683,1,20211114,2021/11/14
684,1,20211115,2021/11/15
685,1,20211116,2021/11/16
686,1,20211117,2021/11/17
687,1,20211118,2021/11/18
688,1,20211119,2021/11/19
689,1,20211120,2021/11/20
690,1,20211121,2021/11/21
691,1,20211122,2021/11/22
692,1,20211123,2021/11/23
693,1,20211124,2021/11/24
694,1,20211125,2021/11/25
695,1,20211126,2021/11/26
696,1,20211127,2021/11/27
697,1,20211128,2021/11/28
698,1,20211129,2021/11/29
699,1,20211130,2021/11/30
700,1,20211201,2021/12/1
701,1,20211202,2021/12/2
702,1,20211203,2021/12/3
703,1,20211204,2021/12/4
704,1,20211205,2021/12/5
705,1,20211206,2021/12/6
706,1,20211207,2021/12/7
707,1,20211208,2021/12/8
708,1,20211209,2021/12/9
709,1,20211210,2021/12/10
710,1,20211211,2021/12/11
711,1,20211212,2021/12/12
712,1,20211213,2021/12/13
713,1,20211214,2021/12/14
714,1,20211215,2021/12/15
715,1,20211216,2021/12/16
716,1,20211217,2021/12/17
717,1,20211218,2021/12/18
718,1,20211219,2021/12/19
719,1,20211220,2021/12/20
720,1,20211221,2021/12/21
721,1,20211222,2021/12/22
722,1,20211223,2021/12/23
723,1,20211224,2021/12/24
724,1,20211225,2021/12/25
725,1,20211226,2021/12/26
726,1,20211227,2021/12/27
727,1,20211228,2021/12/28
728,1,20211229,2021/12/29
729,1,20211230,2021/12/30
730,1,20211231,2021/12/31
731,1,20220101,2022/1/1
732,1,20220102,2022/1/2
733,1,20220103,2022/1/3
734,1,20220104,2022/1/4
735,1,20220105,2022/1/5
736,1,20220106,2022/1/6
737,1,20220107,2022/1/7
738,1,20220108,2022/1/8
739,1,20220109,2022/1/9
740,1,20220110,2022/1/10
741,1,20220111,2022/1/11
742,1,20220112,2022/1/12
743,1,20220113,2022/1/13
744,1,20220114,2022/1/14
745,1,20220115,2022/1/15
746,1,20220116,2022/1/16
747,1,20220117,2022/1/17
748,1,20220118,2022/1/18
749,1,20220119,2022/1/19
750,1,20220120,2022/1/20
751,1,20220121,2022/1/21
752,1,20220122,2022/1/22
753,1,20220123,2022/1/23
754,1,20220124,2022/1/24
755,1,20220125,2022/1/25
756,1,20220126,2022/1/26
757,1,20220127,2022/1/27
758,1,20220128,2022/1/28
759,1,20220129,2022/1/29
760,1,20220130,2022/1/30
761,1,20220131,2022/1/31
762,1,20220201,2022/2/1
763,1,20220202,2022/2/2
764,1,20220203,2022/2/3
765,1,20220204,2022/2/4
766,1,20220205,2022/2/5
767,1,20220206,2022/2/6
768,1,20220207,2022/2/7
769,1,20220208,2022/2/8
770,1,20220209,2022/2/9
771,1,20220210,2022/2/10
772,1,20220211,2022/2/11
773,1,20220212,2022/2/12
774,1,20220213,2022/2/13
775,1,20220214,2022/2/14
776,1,20220215,2022/2/15
777,1,20220216,2022/2/16
778,1,20220217,2022/2/17
779,1,20220218,2022/2/18
780,1,20220219,2022/2/19
781,1,20220220,2022/2/20
782,1,20220221,2022/2/21
783,1,20220222,2022/2/22
784,1,20220223,2022/2/23
785,1,20220224,2022/2/24
786,1,20220225,2022/2/25
787,1,20220226,2022/2/26
788,1,20220227,2022/2/27
789,1,20220228,2022/2/28
790,1,20220301,2022/3/1
791,1,20220302,2022/3/2
792,1,20220303,2022/3/3
793,1,20220304,2022/3/4
794,1,20220305,2022/3/5
795,1,20220306,2022/3/6
796,1,20220307,2022/3/7
797,1,20220308,2022/3/8
798,1,20220309,2022/3/9
799,1,20220310,2022/3/10
800,1,20220311,2022/3/11
801,1,20220312,2022/3/12
802,1,20220313,2022/3/13
803,1,20220314,2022/3/14
804,1,20220315,2022/3/15
805,1,20220316,2022/3/16
806,1,20220317,2022/3/17
807,1,20220318,2022/3/18
808,1,20220319,2022/3/19
809,1,20220320,2022/3/20
810,1,20220321,2022/3/21
811,1,20220322,2022/3/22
812,1,20220323,2022/3/23
813,1,20220324,2022/3/24
814,1,20220325,2022/3/25
815,1,20220326,2022/3/26
816,1,20220327,2022/3/27
817,1,20220328,2022/3/28
818,1,20220329,2022/3/29
819,1,20220330,2022/3/30
820,1,20220331,2022/3/31
821,1,20220401,2022/4/1
822,1,20220402,2022/4/2
823,1,20220403,2022/4/3
824,1,20220404,2022/4/4
825,1,20220405,2022/4/5
826,1,20220406,2022/4/6
827,1,20220407,2022/4/7
828,1,20220408,2022/4/8
829,1,20220409,2022/4/9
830,1,20220410,2022/4/10
831,1,20220411,2022/4/11
832,1,20220412,2022/4/12
833,1,20220413,2022/4/13
834,1,20220414,2022/4/14
835,1,20220415,2022/4/15
836,1,20220416,2022/4/16
837,1,20220417,2022/4/17
838,1,20220418,2022/4/18
839,1,20220419,2022/4/19
840,1,20220420,2022/4/20
841,1,20220421,2022/4/21
842,1,20220422,2022/4/22
843,1,20220423,2022/4/23
844,1,20220424,2022/4/24
845,1,20220425,2022/4/25
846,1,20220426,2022/4/26
847,1,20220427,2022/4/27
848,1,20220428,2022/4/28
849,1,20220429,2022/4/29
850,1,20220430,2022/4/30
851,1,20220501,2022/5/1
852,1,20220502,2022/5/2
853,1,20220503,2022/5/3
854,1,20220504,2022/5/4
855,1,20220505,2022/5/5
856,1,20220506,2022/5/6
857,1,20220507,2022/5/7
858,1,20220508,2022/5/8
859,1,20220509,2022/5/9
860,1,20220510,2022/5/10
861,1,20220511,2022/5/11
862,1,20220512,2022/5/12
863,1,20220513,2022/5/13
864,1,20220514,2022/5/14
865,1,20220515,2022/5/15
866,1,20220516,2022/5/16
867,1,20220517,2022/5/17
868,1,20220518,2022/5/18
869,1,20220519,2022/5/19
870,1,20220520,2022/5/20
871,1,20220521,2022/5/21
872,1,20220522,2022/5/22
873,1,20220523,2022/5/23
874,1,20220524,2022/5/24
875,1,20220525,2022/5/25
876,1,20220526,2022/5/26
877,1,20220527,2022/5/27
878,1,20220528,2022/5/28
879,1,20220529,2022/5/29
880,1,20220530,2022/5/30
881,1,20220531,2022/5/31
882,1,20220601,2022/6/1
883,1,20220602,2022/6/2
884,1,20220603,2022/6/3
885,1,20220604,2022/6/4
886,1,20220605,2022/6/5
887,1,20220606,2022/6/6
888,1,20220607,2022/6/7
889,1,20220608,2022/6/8
890,1,20220609,2022/6/9
891,1,20220610,2022/6/10
892,1,20220611,2022/6/11
893,1,20220612,2022/6/12
894,1,20220613,2022/6/13
895,1,20220614,2022/6/14
896,1,20220615,2022/6/15
897,1,20220616,2022/6/16
