prename,week_end,sex,age,numtotal_atleast1dose
British Columbia,2021-12-25,All sexes,05–11,121967
British Columbia,2021-12-25,All sexes,12–17,268133
British Columbia,2021-12-25,All sexes,18–29,744251
British Columbia,2021-12-25,All sexes,30–39,681075
British Columbia,2021-12-25,All sexes,40–49,592123
British Columbia,2021-12-25,All sexes,50–59,631980
British Columbia,2021-12-25,All sexes,60–69,633686
British Columbia,2021-12-25,All sexes,70–79,439246
British Columbia,2021-12-25,All sexes,80+,245628
British Columbia,2022-01-01,All sexes,0–4,0
British Columbia,2022-01-01,All sexes,05–11,133242
British Columbia,2022-01-01,All sexes,12–17,268252
British Columbia,2022-01-01,All sexes,18–29,745274
British Columbia,2022-01-01,All sexes,30–39,682342
British Columbia,2022-01-01,All sexes,40–49,592855
British Columbia,2022-01-01,All sexes,50–59,632470
British Columbia,2022-01-01,All sexes,60–69,634624
British Columbia,2022-01-01,All sexes,70–79,439942
British Columbia,2022-01-01,All sexes,80+,246217
British Columbia,2022-01-08,All sexes,0–4,0
British Columbia,2022-01-08,All sexes,05–11,150999
British Columbia,2022-01-08,All sexes,12–17,268575
British Columbia,2022-01-08,All sexes,18–29,746838
British Columbia,2022-01-08,All sexes,30–39,683912
British Columbia,2022-01-08,All sexes,40–49,593856
British Columbia,2022-01-08,All sexes,50–59,633162
British Columbia,2022-01-08,All sexes,60–69,635463
British Columbia,2022-01-08,All sexes,70–79,440701
British Columbia,2022-01-08,All sexes,80+,246741
British Columbia,2022-01-15,All sexes,0–4,0
British Columbia,2022-01-15,All sexes,05–11,164157
British Columbia,2022-01-15,All sexes,12–17,269170
British Columbia,2022-01-15,All sexes,18–29,749417
British Columbia,2022-01-15,All sexes,30–39,686263
British Columbia,2022-01-15,All sexes,40–49,595355
British Columbia,2022-01-15,All sexes,50–59,634041
British Columbia,2022-01-15,All sexes,60–69,636667
British Columbia,2022-01-15,All sexes,70–79,441579
British Columbia,2022-01-15,All sexes,80+,247455
British Columbia,2022-01-22,All sexes,0–4,0
British Columbia,2022-01-22,All sexes,05–11,173769
British Columbia,2022-01-22,All sexes,12–17,269721
British Columbia,2022-01-22,All sexes,18–29,751573
British Columbia,2022-01-22,All sexes,30–39,688120
British Columbia,2022-01-22,All sexes,40–49,596661
British Columbia,2022-01-22,All sexes,50–59,634892
British Columbia,2022-01-22,All sexes,60–69,637643
British Columbia,2022-01-22,All sexes,70–79,442336
British Columbia,2022-01-22,All sexes,80+,248126
British Columbia,2022-01-30,All sexes,0–4,0
British Columbia,2022-01-30,All sexes,05–11,180353
British Columbia,2022-01-30,All sexes,12–17,270165
British Columbia,2022-01-30,All sexes,18–29,753150
British Columbia,2022-01-30,All sexes,30–39,689853
British Columbia,2022-01-30,All sexes,40–49,597645
British Columbia,2022-01-30,All sexes,50–59,635491
British Columbia,2022-01-30,All sexes,60–69,638474
British Columbia,2022-01-30,All sexes,70–79,443013
British Columbia,2022-01-30,All sexes,80+,248774
British Columbia,2022-02-06,All sexes,0–4,0
British Columbia,2022-02-06,All sexes,05–11,184980
British Columbia,2022-02-06,All sexes,12–17,270571
British Columbia,2022-02-06,All sexes,18–29,754562
British Columbia,2022-02-06,All sexes,30–39,691126
British Columbia,2022-02-06,All sexes,40–49,598592
British Columbia,2022-02-06,All sexes,50–59,635823
British Columbia,2022-02-06,All sexes,60–69,639182
British Columbia,2022-02-06,All sexes,70–79,443695
British Columbia,2022-02-06,All sexes,80+,249429
British Columbia,2022-02-13,All sexes,0–4,0
British Columbia,2022-02-13,All sexes,05–11,187655
British Columbia,2022-02-13,All sexes,12–17,270927
British Columbia,2022-02-13,All sexes,18–29,755432
British Columbia,2022-02-13,All sexes,30–39,692139
British Columbia,2022-02-13,All sexes,40–49,599286
British Columbia,2022-02-13,All sexes,50–59,636151
British Columbia,2022-02-13,All sexes,60–69,639713
British Columbia,2022-02-13,All sexes,70–79,444342
British Columbia,2022-02-13,All sexes,80+,250018
British Columbia,2022-02-20,All sexes,0–4,0
British Columbia,2022-02-20,All sexes,05–11,189531
British Columbia,2022-02-20,All sexes,12–17,271147
British Columbia,2022-02-20,All sexes,18–29,759652
British Columbia,2022-02-20,All sexes,30–39,694732
British Columbia,2022-02-20,All sexes,40–49,600953
British Columbia,2022-02-20,All sexes,50–59,637238
British Columbia,2022-02-20,All sexes,60–69,641181
British Columbia,2022-02-20,All sexes,70–79,445267
British Columbia,2022-02-20,All sexes,80+,250815
British Columbia,2022-02-27,All sexes,0–4,0
British Columbia,2022-02-27,All sexes,05–11,190088
British Columbia,2022-02-27,All sexes,12–17,271117
British Columbia,2022-02-27,All sexes,18–29,760201
British Columbia,2022-02-27,All sexes,30–39,695624
British Columbia,2022-02-27,All sexes,40–49,601206
British Columbia,2022-02-27,All sexes,50–59,637622
British Columbia,2022-02-27,All sexes,60–69,641403
British Columbia,2022-02-27,All sexes,70–79,445937
British Columbia,2022-02-27,All sexes,80+,251317
British Columbia,2022-03-06,All sexes,0–4,0
British Columbia,2022-03-06,All sexes,05–11,190341
British Columbia,2022-03-06,All sexes,12–17,271092
British Columbia,2022-03-06,All sexes,18–29,760712
British Columbia,2022-03-06,All sexes,30–39,696208
British Columbia,2022-03-06,All sexes,40–49,601626
British Columbia,2022-03-06,All sexes,50–59,637740
British Columbia,2022-03-06,All sexes,60–69,641709
British Columbia,2022-03-06,All sexes,70–79,446595
British Columbia,2022-03-06,All sexes,80+,251921
British Columbia,2022-03-13,All sexes,0–4,0
British Columbia,2022-03-13,All sexes,05–11,190395
British Columbia,2022-03-13,All sexes,12–17,271056
British Columbia,2022-03-13,All sexes,18–29,761089
British Columbia,2022-03-13,All sexes,30–39,696810
British Columbia,2022-03-13,All sexes,40–49,602022
British Columbia,2022-03-13,All sexes,50–59,637823
British Columbia,2022-03-13,All sexes,60–69,642117
British Columbia,2022-03-13,All sexes,70–79,447141
British Columbia,2022-03-13,All sexes,80+,252530
British Columbia,2022-03-20,All sexes,0–4,0
British Columbia,2022-03-20,All sexes,05–11,190431
British Columbia,2022-03-20,All sexes,12–17,270942
British Columbia,2022-03-20,All sexes,18–29,761126
British Columbia,2022-03-20,All sexes,30–39,697166
British Columbia,2022-03-20,All sexes,40–49,602303
British Columbia,2022-03-20,All sexes,50–59,637835
British Columbia,2022-03-20,All sexes,60–69,642409
British Columbia,2022-03-20,All sexes,70–79,447782
British Columbia,2022-03-20,All sexes,80+,253136
British Columbia,2022-03-27,All sexes,0–4,0
British Columbia,2022-03-27,All sexes,05–11,190545
British Columbia,2022-03-27,All sexes,12–17,270815
British Columbia,2022-03-27,All sexes,18–29,761218
British Columbia,2022-03-27,All sexes,30–39,697612
British Columbia,2022-03-27,All sexes,40–49,602773
British Columbia,2022-03-27,All sexes,50–59,637897
British Columbia,2022-03-27,All sexes,60–69,642833
British Columbia,2022-03-27,All sexes,70–79,448331
British Columbia,2022-03-27,All sexes,80+,253727
British Columbia,2022-04-03,All sexes,0–4,0
British Columbia,2022-04-03,All sexes,05–11,190355
British Columbia,2022-04-03,All sexes,12–17,270612
British Columbia,2022-04-03,All sexes,18–29,761066
British Columbia,2022-04-03,All sexes,30–39,697929
