id,Alpha_increase,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9279,2.112145559471412,36.0,1.5594573415796917,0.004916851188486463,0.12642173810490115,7.0,18.0
9280,2.314102820066616,57.0,1.582817746922244,0.005708268138209555,0.13443567491641045,5.0,25.0
9281,2.2317572896419215,62.0,1.595528191578202,0.005587929973531414,0.16941131918251573,5.0,23.0
9282,2.386306724666933,59.0,1.8693245466052615,0.003714274658884152,0.25201889148730794,4.0,11.0
9283,2.2431818244548936,59.0,1.5922364031073886,0.009870892935058708,0.1854329946086281,3.0,6.0
9284,2.022743340534389,61.0,1.440412853016486,0.003533979341452321,0.10016738318162426,2.0,30.0
9285,2.352764490336611,49.0,1.7401935704091511,0.005958775954263308,0.16711736113629141,6.0,17.0
9286,2.124708468628353,48.0,1.632961610957835,0.0063583779547324165,0.13907672908394011,5.0,7.0
9287,2.3577925016789214,22.0,1.5738669575023478,0.0014383866245280678,0.11432276235421614,6.0,42.0
9288,2.338723216354164,55.0,1.6452817438158265,0.009726808512251248,0.19535326084257898,7.0,34.0
9289,2.403199565075422,63.0,1.7521347764208766,0.004612760982317551,0.1885960220058557,3.0,7.0
9290,2.3560181404041645,55.0,1.526549343459064,0.0031829675839905825,0.14920374637176842,2.0,23.0
9291,2.1979636669068543,62.0,1.563182921283253,0.008361694757566578,0.15417515624205105,6.0,25.0
9292,2.4125404256100955,46.0,1.5624546057674664,0.008814113197060948,0.14655107028889264,6.0,37.0
9293,2.288064726108723,63.0,1.7750320637590697,0.0021914731986412803,0.21926814398081762,0.0,4.0
9294,2.4383462873012833,53.0,1.6036223812068418,0.0018112405969983732,0.12038254757100982,2.0,18.0
9295,2.407081805119065,60.0,1.5560508350005469,0.0031892976858964284,0.12904232562618856,0.0,8.0
